Date Disclosed,Project Name,Document Type,Project Number,Project Url,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC Approval Date,IFC Signed Date,IFC Invested Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
07/01/2022,SeABank Convert,Summary of Investment Information (AIP Policy 2012),46462,https://disclosures.ifc.org/project-detail/SII/46462/seabank-convert,Loan,SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK,Vietnam,VNM,Financial Institutions,FI-1,Regional Industry - FIG Asia & Pac,Pending,05/31/2022,05/31/2022,06/30/2022,,,,75,,75,VN,"July 06, 2022 03:15 AM"
06/30/2022,Telecom Arg 2022,Summary of Investment Information (AIP Policy 2012),46720,https://disclosures.ifc.org/project-detail/SII/46720/telecom-arg-2022,,TELECOM ARGENTINA S.A.,Argentina,ARG,"Telecommunications, Media, and Technology",B,Regional Industry - INF LAC,Pending,06/27/2022,06/24/2022,06/28/2022,,4,,50,,54,AR,"July 06, 2022 03:15 AM"
06/30/2022,Ege Endustri,Summary of Investment Information (AIP Policy 2012),46143,https://disclosures.ifc.org/project-detail/SII/46143/ege-endustri,,EGE ENDUSTRI VE TICARET ANONIM SIRKETI,Turkey,TUR,Manufacturing,B,Regional Industry MAS MCT,Pending,06/17/2022,06/17/2022,06/30/2022,,,,42.79,,42.79,TR,"July 06, 2022 03:15 AM"
06/29/2022,Absa Housing,Summary of Investment Information (AIP Policy 2012),46933,https://disclosures.ifc.org/project-detail/SII/46933/absa-housing,,ABSA BANK LTD,South Africa,SOU,Financial Institutions,FI-3,Regional Industry - FIG Africa,Pending,06/28/2022,06/28/2022,06/29/2022,,,,128.12,,128.12,ZA,"July 06, 2022 03:15 AM"
06/28/2022,AGUNSA UCL,Summary of Investment Information (AIP Policy 2012),46489,https://disclosures.ifc.org/project-detail/SII/46489/agunsa-ucl,,Agencias Universales S.A.,Chile,CHL,other,B,CN1S7 - Regional Industry - INF LAC/INR New Business - LAC,Pending,08/12/2022,,,,,,,,,CL,"July 06, 2022 03:15 AM"
06/27/2022,ECCBC Green Loan,Summary of Investment Information (AIP Policy 2012),46396,https://disclosures.ifc.org/project-detail/SII/46396/eccbc-green-loan,,EQUATORIAL COCA COLA BOTTLING COMPANY SL,Africa Region,AFR,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Pending,07/27/2022,,,,,,,,,3A,"July 06, 2022 03:15 AM"
06/27/2022,ECCBC Green Loan,Summary of Investment Information (AIP Policy 2012),46396,https://disclosures.ifc.org/project-detail/SII/46396/eccbc-green-loan,,EQUATORIAL COCA COLA BOTTLING COMPANY SL,Africa Region,AFR,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Pending,07/27/2022,,,,,,,,,3A,"July 06, 2022 03:15 AM"
06/24/2022,Horizon Ukr IV,Summary of Investment Information (AIP Policy 2012),46263,https://disclosures.ifc.org/project-detail/SII/46263/horizon-ukr-iv,,HORIZON CAPITAL GROWTH FUND IV,Ukraine,UKR,Funds,FI-2,Disruptive Technologies and Funds,Pending,08/15/2022,,,,,,,,,UA,"July 06, 2022 03:15 AM"
06/24/2022,RSE Covid HSA,Summary of Investment Information (AIP Policy 2012),46486,https://disclosures.ifc.org/project-detail/SII/46486/rse-covid-hsa,Loan,NATIONAL DAIRY AND FOOD COMPANY LTD,"Yemen, Republic of",YAR,Agribusiness and Forestry,B,Regional Industry MAS MCT,Pending,03/17/2022,03/17/2022,,,,,20,,20,RY,"July 06, 2022 03:15 AM"
06/23/2022,South-East Europe Food Retail,Summary of Investment Information (AIP Policy 2012),46855,https://disclosures.ifc.org/project-detail/SII/46855/south-east-europe-food-retail,,SC KAUFLAND ROMANIA SCS,Southern Europe Region,EUR,"Tourism, Retail, and Property",B,Regional Industry - MAS ECA,Pending,08/05/2022,,,,,,,,,,"July 06, 2022 03:15 AM"
